18.660000	22.880000	1
30.280000	38.300000	2
40.080000	44.730000	3
46.230000	49.670000	4
52.930000	58.290000	5
59.280000	61.980000	6
65.310000	70.050000	7
72.090000	73.950000	8
79.760000	84.100000	9
89.710000	93.720000	10
96.120000	100.280000	11
105.390000	109.580000	12
111.980000	115.700000	13
129.520000	136.170000	14
142.300000	143.030000	15
158.480000	160.520000	16
162.410000	164.090000	17
165.700000	168.860000	18
171.390000	181.830000	19
182.740000	185.980000	20
199.730000	207.580000	21
227.860000	236.100000	22
