19.740000	21.500000	1
22.990000	24.610000	2
27.510000	30.700000	3
34.490000	36.500000	4
37.750000	39.890000	5
55.740000	57.140000	6
58.710000	61.330000	7
67.560000	69.830000	8
73.740000	75.390000	9
88.500000	91.460000	10
95.460000	97.760000	11
101.390000	104.300000	12
108.330000	110.990000	13
112.950000	115.510000	14
117.610000	120.960000	15
125.300000	130.950000	16
132.800000	136.510000	17
162.320000	164.670000	18
201.610000	202.380000	19
204.510000	206.930000	20
210.150000	211.940000	21
215.350000	217.820000	22
235.930000	239.130000	23
248.140000	250.160000	24
