25.200000	29.110000	1
30.290000	33.040000	2
35.460000	44.620000	3
47.070000	50.690000	4
52.270000	55.400000	5
57.560000	60.690000	6
62.750000	67.480000	7
74.340000	77.420000	8
104.780000	109.650000	9
120.040000	124.410000	10
125.840000	130.280000	11
148.890000	152.270000	12
153.290000	156.370000	13
157.300000	160.300000	14
161.470000	163.000000	15
163.870000	166.240000	16
194.810000	198.360000	17
208.670000	209.440000	18
210.740000	212.900000	19
214.280000	215.110000	20
216.410000	219.450000	21
232.560000	236.630000	22
238.270000	243.410000	23
