3.660000	5.320000	1
6.760000	8.120000	2
9.830000	11.110000	3
13.000000	14.230000	4
15.990000	17.510000	5
18.870000	20.260000	6
21.900000	23.020000	7
25.020000	26.220000	8
28.000000	29.610000	9
30.970000	32.300000	10
34.030000	35.360000	11
37.120000	39.460000	12
105.180000	106.940000	13
108.260000	110.290000	14
111.100000	113.090000	15
114.160000	116.180000	16
117.050000	119.000000	17
120.100000	123.640000	18
169.890000	171.710000	19
173.320000	175.100000	20
176.380000	178.100000	21
179.350000	181.160000	22
182.510000	184.290000	23
185.550000	187.470000	24
188.830000	190.580000	25
191.820000	194.480000	26
231.540000	233.010000	27
234.490000	236.140000	28
237.550000	239.470000	29
240.620000	242.960000	30
